storenum,secs,dayofweek,meal,drinkonly,cost,satisfaction
467,167,Mon,Lunch,No,599,6
24,206,Thur,Lunch,No,416,5
533,456,Mon,Lunch,No,484,5
40,475,Mon,Lunch,No,540,5
352,342,Mon,Breakfast,No,348,7
574,171,Thur,Breakfast,No,448,8
177,44,Tues,Lunch,No,372,6
856,161,Tues,Dinner,Yes,136,6
448,161,Mon,Dinner,No,503,7
169,269,Thur,Dinner,Yes,191,3
238,127,Wed,Dinner,No,585,6
355,390,Tues,Breakfast,No,245,4
466,306,Tues,Dinner,No,391,4
494,152,Fri,Lunch,Yes,123,5
115,325,Fri,Lunch,No,484,6
98,136,Mon,Lunch,No,260,7
261,91,Tues,Lunch,No,566,6
133,88,Wed,Dinner,No,634,7
822,151,Tues,Lunch,No,296,6
656,145,Thur,Breakfast,Yes,173,5
450,292,Mon,Dinner,No,306,7
90,169,Tues,Dinner,No,306,8
660,37,Fri,Lunch,No,386,6
379,138,Wed,Dinner,No,650,9
49,205,Fri,Dinner,No,489,8
248,194,Mon,Breakfast,No,270,5
498,234,Mon,Dinner,No,603,5
802,252,Mon,Dinner,Yes,177,4
354,206,Tues,Dinner,No,374,5
402,129,Wed,Dinner,No,755,8
196,120,Fri,Breakfast,Yes,101,5
880,515,Fri,Breakfast,No,280,3
846,140,Thur,Dinner,No,628,6
606,118,Wed,Dinner,No,646,7
198,68,Wed,Lunch,No,367,6
370,94,Thur,Lunch,No,266,7
787,109,Mon,Lunch,No,306,7
639,277,Fri,Dinner,No,472,7
328,469,Tues,Lunch,No,531,6
593,131,Tues,Lunch,No,396,7
739,184,Fri,Dinner,No,607,7
182,44,Wed,Dinner,No,285,5
502,180,Tues,Lunch,No,570,6
514,133,Thur,Breakfast,No,342,6
469,116,Thur,Lunch,No,260,7
262,137,Mon,Lunch,No,394,6
491,490,Mon,Dinner,Yes,96,3
797,121,Fri,Lunch,No,530,6
596,175,Wed,Lunch,No,518,4
76,238,Mon,Dinner,No,649,8
431,311,Fri,Dinner,No,621,5
170,202,Tues,Dinner,Yes,106,6
595,360,Mon,Dinner,Yes,138,4
403,347,Thur,Lunch,No,356,7
779,596,Tues,Lunch,No,245,5
863,156,Fri,Breakfast,Yes,97,5
252,83,Thur,Lunch,No,415,5
758,272,Wed,Lunch,No,535,6
259,136,Fri,Breakfast,Yes,142,5
777,217,Fri,Dinner,No,540,8
694,79,Wed,Lunch,No,293,5
752,147,Mon,Breakfast,No,436,8
57,155,Mon,Lunch,No,394,7
711,46,Thur,Dinner,Yes,156,5
724,553,Fri,Lunch,No,380,5
833,293,Wed,Lunch,No,538,7
450,180,Thur,Dinner,No,459,5
621,52,Wed,Lunch,No,320,5
588,165,Mon,Breakfast,No,453,7
756,125,Wed,Dinner,Yes,154,6
878,120,Thur,Lunch,No,488,7
21,133,Tues,Lunch,No,334,5
318,244,Wed,Dinner,Yes,142,6
769,96,Wed,Lunch,No,492,5
140,340,Fri,Dinner,No,301,6
539,62,Fri,Dinner,No,685,7
385,483,Thur,Lunch,Yes,129,5
743,134,Tues,Dinner,Yes,117,5
70,66,Fri,Dinner,No,338,5
818,287,Mon,Dinner,No,720,6
28,102,Tues,Dinner,No,667,5
385,159,Wed,Breakfast,No,410,6
30,88,Wed,Dinner,No,356,5
161,215,Mon,Dinner,No,317,7
1,294,Wed,Breakfast,No,373,5
845,96,Tues,Lunch,Yes,194,8
535,154,Wed,Dinner,No,376,6
441,155,Wed,Dinner,No,672,6
272,241,Thur,Lunch,No,587,6
664,134,Thur,Lunch,No,559,7
47,114,Wed,Dinner,No,396,6
89,122,Tues,Lunch,No,374,8
673,458,Fri,Dinner,No,667,7
277,464,Mon,Dinner,No,586,6
391,260,Wed,Lunch,No,554,4
354,187,Thur,Lunch,No,474,6
465,200,Wed,Lunch,No,228,7
298,134,Fri,Lunch,No,555,7
596,421,Mon,Lunch,No,261,6
69,91,Tues,Lunch,Yes,176,8
797,120,Tues,Dinner,No,703,7
180,132,Tues,Lunch,No,289,6
292,104,Mon,Lunch,No,469,5
856,566,Thur,Dinner,No,413,3
569,418,Mon,Lunch,No,585,4
763,494,Tues,Lunch,No,457,3
448,201,Fri,Breakfast,No,344,7
589,148,Mon,Dinner,No,330,7
728,132,Wed,Lunch,No,397,6
712,108,Tues,Dinner,No,341,6
783,181,Wed,Lunch,No,333,4
857,210,Mon,Dinner,No,636,8
793,126,Mon,Dinner,Yes,106,6
642,179,Tues,Lunch,No,496,6
14,41,Mon,Dinner,No,740,6
292,301,Mon,Breakfast,No,428,6
635,79,Thur,Lunch,No,448,7
92,150,Wed,Lunch,Yes,110,7
88,121,Thur,Dinner,No,521,5
276,157,Wed,Breakfast,No,332,8
81,151,Fri,Lunch,No,338,7
327,68,Wed,Dinner,No,302,7
568,73,Tues,Lunch,No,460,6
825,131,Mon,Breakfast,Yes,152,8
217,144,Fri,Lunch,Yes,154,7
846,192,Mon,Dinner,No,497,8
637,38,Wed,Breakfast,No,331,7
112,182,Tues,Lunch,No,349,5
721,32,Thur,Dinner,No,608,6
64,163,Tues,Breakfast,No,192,6
319,77,Mon,Dinner,No,806,7
857,157,Fri,Lunch,No,585,8
614,581,Thur,Breakfast,Yes,165,6
483,169,Wed,Lunch,Yes,104,7
735,65,Thur,Lunch,No,393,7
794,467,Tues,Lunch,No,321,4
71,492,Mon,Lunch,Yes,87,2
71,363,Fri,Lunch,No,287,3
13,468,Tues,Lunch,No,216,6
625,559,Mon,Lunch,No,535,3
590,112,Wed,Lunch,No,259,7
54,435,Mon,Lunch,Yes,108,3
750,207,Wed,Dinner,No,506,7
577,272,Wed,Lunch,No,391,5
598,110,Mon,Lunch,No,349,5
46,486,Wed,Lunch,No,298,6
717,495,Mon,Lunch,No,559,7
297,54,Thur,Dinner,No,605,7
661,133,Fri,Lunch,No,465,7
299,164,Thur,Lunch,No,487,7
22,153,Thur,Lunch,No,433,8
69,162,Thur,Lunch,No,338,8
439,540,Fri,Lunch,No,224,3
885,127,Fri,Lunch,No,579,7
538,308,Wed,Dinner,No,566,7
391,236,Thur,Dinner,No,758,7
207,416,Wed,Dinner,No,328,6
722,197,Wed,Lunch,No,556,5
730,109,Mon,Dinner,No,768,9
241,162,Thur,Dinner,No,666,8
636,460,Wed,Lunch,No,305,4
117,36,Fri,Lunch,No,314,5
800,213,Fri,Breakfast,No,234,5
297,234,Wed,Dinner,No,546,6
189,76,Fri,Dinner,No,649,7
421,524,Mon,Lunch,Yes,103,3
31,43,Wed,Lunch,No,456,8
780,67,Tues,Breakfast,No,327,6
644,108,Thur,Breakfast,No,273,7
394,44,Mon,Lunch,No,468,6
638,122,Wed,Dinner,No,367,8
774,267,Tues,Breakfast,No,402,7
350,76,Tues,Dinner,No,696,6
752,305,Wed,Lunch,No,220,3
162,212,Mon,Lunch,Yes,108,7
757,122,Wed,Dinner,Yes,139,6
489,321,Thur,Lunch,Yes,115,3
227,206,Fri,Lunch,No,220,5
344,134,Tues,Dinner,No,724,6
122,143,Wed,Lunch,No,591,7
172,134,Fri,Dinner,No,436,7
253,338,Mon,Lunch,No,324,6
179,139,Wed,Lunch,No,532,9
540,130,Tues,Lunch,No,235,6
205,199,Thur,Dinner,No,456,7
321,126,Mon,Dinner,No,669,8
419,150,Fri,Dinner,No,821,6
133,478,Wed,Lunch,No,587,6
388,80,Tues,Lunch,Yes,153,7
823,398,Tues,Lunch,No,276,3
883,461,Wed,Dinner,No,799,7
230,311,Thur,Lunch,No,491,7
379,190,Tues,Breakfast,No,246,6
363,116,Fri,Lunch,No,549,8
257,101,Mon,Lunch,No,462,7
717,141,Fri,Lunch,No,351,6
439,351,Wed,Dinner,No,531,7
135,168,Thur,Lunch,No,324,7
290,145,Fri,Breakfast,No,371,7
848,119,Thur,Dinner,No,440,6
444,174,Mon,Dinner,No,371,8
120,143,Wed,Lunch,No,219,7
510,154,Wed,Lunch,Yes,131,4
564,123,Wed,Lunch,No,552,8
372,409,Thur,Dinner,No,292,5
883,109,Mon,Breakfast,Yes,169,8
128,192,Fri,Dinner,No,316,6
714,167,Fri,Dinner,No,655,6
734,162,Wed,Dinner,No,389,6
442,231,Fri,Dinner,Yes,148,5
429,152,Fri,Dinner,No,529,5
232,144,Fri,Lunch,No,404,7
321,43,Fri,Lunch,No,509,8
136,434,Tues,Dinner,No,821,8
597,155,Thur,Lunch,No,315,8
585,296,Wed,Dinner,No,752,5
114,592,Fri,Breakfast,No,481,5
280,154,Fri,Dinner,No,304,4
444,152,Wed,Lunch,No,333,6
343,393,Thur,Breakfast,No,490,8
835,325,Tues,Lunch,No,553,4
679,101,Thur,Breakfast,No,219,6
303,88,Mon,Dinner,No,430,9
178,112,Mon,Dinner,No,345,7
373,260,Thur,Lunch,No,368,5
616,124,Thur,Breakfast,No,344,6
198,301,Wed,Dinner,No,308,5
396,117,Mon,Breakfast,Yes,139,8
176,548,Wed,Dinner,No,578,5
654,52,Mon,Lunch,No,589,6
811,226,Tues,Lunch,No,401,6
874,533,Fri,Dinner,No,377,5
850,79,Tues,Lunch,No,348,6
756,75,Fri,Lunch,No,393,8
480,139,Tues,Lunch,No,448,5
441,119,Thur,Lunch,Yes,110,4
797,234,Thur,Lunch,No,259,7
292,145,Thur,Lunch,No,343,7
389,262,Mon,Lunch,No,241,4
112,189,Mon,Dinner,No,315,8
520,206,Fri,Breakfast,Yes,148,7
514,158,Fri,Breakfast,No,429,8
559,101,Fri,Dinner,No,656,6
191,147,Wed,Lunch,Yes,120,5
820,164,Mon,Lunch,No,292,6
152,99,Fri,Lunch,No,239,6
821,195,Wed,Lunch,No,400,4
413,556,Fri,Lunch,No,310,4
231,407,Tues,Dinner,Yes,144,4
755,519,Wed,Dinner,No,693,6
65,136,Fri,Breakfast,Yes,142,8
542,87,Thur,Lunch,No,247,8
424,304,Tues,Breakfast,Yes,118,7
767,292,Wed,Lunch,No,316,4
776,78,Mon,Lunch,No,389,8
238,163,Tues,Dinner,No,649,5
209,149,Thur,Dinner,No,829,6
859,332,Tues,Dinner,No,573,7
465,254,Tues,Dinner,No,585,7
662,510,Mon,Lunch,No,432,4
454,444,Tues,Dinner,Yes,154,3
284,195,Wed,Lunch,No,405,5
320,283,Thur,Lunch,No,508,8
150,168,Tues,Lunch,No,493,7
399,64,Wed,Dinner,No,682,7
227,158,Tues,Breakfast,No,487,8
704,42,Mon,Dinner,No,404,9
220,243,Fri,Dinner,No,323,7
286,382,Wed,Lunch,No,514,3
108,212,Tues,Lunch,No,486,7
279,162,Mon,Lunch,No,398,6
856,153,Fri,Dinner,No,583,8
530,200,Wed,Lunch,No,249,5
475,183,Wed,Dinner,Yes,168,6
498,80,Wed,Lunch,No,231,6
220,154,Wed,Lunch,No,407,7
874,120,Mon,Lunch,Yes,110,6
820,553,Tues,Dinner,No,645,4
109,48,Fri,Lunch,No,570,8
627,128,Thur,Dinner,Yes,97,4
844,220,Mon,Lunch,Yes,165,6
604,50,Tues,Breakfast,No,275,6
666,140,Thur,Lunch,No,500,8
764,161,Mon,Dinner,No,498,8
665,217,Tues,Breakfast,Yes,168,5
175,255,Mon,Lunch,No,510,6
73,172,Tues,Lunch,No,537,7
707,134,Tues,Dinner,Yes,99,6
486,96,Mon,Dinner,No,795,6
535,114,Tues,Lunch,No,536,8
832,61,Wed,Lunch,No,325,7
828,318,Mon,Dinner,No,605,4
261,172,Wed,Lunch,No,238,7
183,409,Mon,Breakfast,Yes,107,6
761,291,Tues,Dinner,No,689,5
582,377,Fri,Lunch,Yes,147,5
482,152,Wed,Dinner,No,464,7
262,181,Tues,Dinner,No,616,7
615,75,Wed,Dinner,Yes,171,5
548,123,Tues,Lunch,No,234,5
37,451,Mon,Dinner,No,386,3
791,134,Mon,Lunch,No,271,5
835,505,Wed,Lunch,No,543,4
166,216,Thur,Lunch,No,443,7
723,441,Thur,Lunch,No,437,3
853,407,Wed,Lunch,No,310,5
420,60,Thur,Lunch,No,576,7
31,164,Mon,Dinner,No,483,5
214,480,Fri,Lunch,No,487,4
454,116,Tues,Dinner,Yes,192,6
266,145,Tues,Dinner,No,359,8
417,109,Wed,Dinner,No,508,6
381,539,Wed,Lunch,No,358,3
789,394,Tues,Lunch,No,401,6
813,395,Wed,Dinner,No,392,4
661,537,Tues,Lunch,No,409,5
607,64,Mon,Dinner,No,465,8
581,159,Fri,Dinner,No,465,6
210,410,Thur,Lunch,No,238,4
1,159,Thur,Dinner,No,430,8
136,230,Wed,Breakfast,No,317,8
104,135,Thur,Dinner,Yes,110,7
581,92,Tues,Dinner,No,435,9
409,293,Thur,Dinner,No,473,7
501,305,Fri,Dinner,No,798,5
502,217,Fri,Lunch,No,514,7
828,158,Fri,Dinner,No,305,6
200,132,Mon,Lunch,No,439,6
538,130,Wed,Lunch,No,370,6
558,70,Wed,Lunch,No,244,8
693,494,Thur,Lunch,Yes,112,5
588,286,Fri,Dinner,No,548,7
89,136,Tues,Lunch,No,280,6
381,157,Wed,Dinner,No,785,7
56,356,Tues,Lunch,Yes,153,5
782,125,Thur,Dinner,No,573,8
892,575,Thur,Lunch,No,566,6
368,150,Fri,Lunch,No,456,6
862,143,Thur,Lunch,No,393,7
288,597,Tues,Lunch,No,380,5
771,128,Fri,Dinner,No,570,6
140,101,Fri,Dinner,No,795,6
351,112,Fri,Lunch,No,504,7
775,186,Wed,Dinner,No,528,4
830,90,Mon,Dinner,No,389,8
662,416,Fri,Dinner,No,486,5
808,123,Wed,Lunch,No,543,7
840,187,Fri,Lunch,No,351,8
255,258,Mon,Lunch,No,313,5
592,421,Thur,Dinner,No,740,5
563,233,Tues,Dinner,No,657,5
104,527,Wed,Lunch,No,573,6
30,143,Mon,Dinner,No,488,6
288,235,Thur,Lunch,No,260,4
165,125,Mon,Breakfast,No,325,7
433,121,Wed,Dinner,No,382,8
503,500,Tues,Lunch,No,539,7
556,165,Thur,Breakfast,No,412,9
613,187,Mon,Dinner,No,443,8
196,287,Wed,Lunch,No,441,7
471,454,Tues,Lunch,No,575,6
889,288,Fri,Lunch,No,422,5
439,98,Mon,Lunch,No,578,9
411,218,Thur,Lunch,No,427,7
739,74,Fri,Breakfast,No,401,7
744,41,Tues,Lunch,No,366,6
199,231,Wed,Breakfast,No,468,6
474,400,Thur,Dinner,No,475,7
348,176,Tues,Dinner,No,503,5
465,134,Thur,Dinner,No,495,6
683,144,Mon,Lunch,No,474,6
701,513,Tues,Dinner,No,444,4
838,114,Thur,Lunch,No,567,8
228,138,Tues,Lunch,No,502,7
509,210,Mon,Breakfast,No,253,6
850,121,Fri,Breakfast,No,476,6
610,75,Thur,Breakfast,No,480,9
151,81,Wed,Lunch,No,388,8
673,84,Tues,Dinner,No,427,6
889,592,Fri,Breakfast,Yes,133,4
672,117,Wed,Breakfast,No,474,6
871,224,Fri,Lunch,No,277,7
230,157,Tues,Dinner,No,784,7
687,573,Tues,Lunch,No,235,3
702,482,Wed,Breakfast,No,259,4
128,166,Tues,Dinner,Yes,167,7
461,459,Fri,Lunch,No,558,4
697,340,Mon,Lunch,No,471,5
813,337,Mon,Dinner,No,652,8
193,163,Wed,Dinner,No,456,5
30,144,Fri,Dinner,No,664,6
509,133,Tues,Breakfast,No,487,9
604,145,Fri,Dinner,No,512,8
833,109,Mon,Lunch,No,243,6
30,113,Thur,Lunch,No,527,5
817,568,Mon,Dinner,No,287,2
729,135,Fri,Lunch,No,337,8
163,149,Wed,Breakfast,No,239,5
788,263,Thur,Lunch,No,246,6
548,176,Thur,Dinner,No,580,6
302,166,Wed,Lunch,No,385,5
314,449,Thur,Dinner,No,668,4
67,329,Fri,Dinner,No,732,6
790,115,Fri,Lunch,Yes,93,6
829,169,Mon,Lunch,No,288,4
652,145,Fri,Lunch,No,316,6
858,117,Thur,Lunch,No,596,7
587,410,Fri,Lunch,No,576,4
778,502,Tues,Lunch,No,579,4
142,151,Thur,Dinner,No,715,8
810,567,Fri,Lunch,No,349,4
384,138,Thur,Dinner,No,529,9
533,130,Tues,Dinner,No,800,5
749,343,Thur,Lunch,No,520,4
364,87,Wed,Breakfast,No,441,9
584,597,Thur,Lunch,No,303,5
70,199,Tues,Lunch,No,342,5
340,321,Thur,Lunch,No,328,5
55,128,Thur,Lunch,No,375,4
516,357,Fri,Breakfast,No,495,7
747,346,Tues,Breakfast,No,303,4
215,146,Wed,Dinner,No,807,9
556,104,Thur,Dinner,No,468,8
742,164,Mon,Lunch,No,486,5
384,437,Thur,Lunch,No,290,5
868,89,Mon,Dinner,No,412,8
720,111,Tues,Dinner,No,663,7
189,102,Tues,Breakfast,No,497,9
540,144,Wed,Dinner,No,662,7
605,139,Wed,Lunch,No,537,8
696,209,Mon,Lunch,Yes,104,6
713,136,Wed,Dinner,No,699,8
889,566,Wed,Lunch,No,454,4
12,101,Wed,Lunch,No,229,5
325,63,Thur,Lunch,No,566,6
685,39,Thur,Dinner,No,553,6
822,159,Wed,Lunch,No,527,5
246,189,Tues,Dinner,No,359,5
98,339,Thur,Lunch,Yes,173,4
54,345,Mon,Lunch,No,436,4
874,341,Tues,Lunch,No,508,5
720,175,Tues,Lunch,Yes,160,5
662,175,Tues,Dinner,No,787,8
800,48,Tues,Lunch,No,235,6
403,242,Mon,Dinner,No,570,6
489,101,Thur,Lunch,No,264,7
152,356,Fri,Dinner,No,635,6
273,420,Fri,Lunch,No,344,6
680,457,Thur,Lunch,No,314,5
559,137,Wed,Lunch,No,441,7
484,353,Wed,Lunch,Yes,100,5
38,111,Fri,Dinner,No,747,7
179,385,Fri,Dinner,No,750,6
316,208,Tues,Lunch,No,491,5
198,73,Wed,Lunch,No,582,6
65,162,Fri,Dinner,No,812,7
170,145,Thur,Lunch,Yes,106,4
866,289,Tues,Breakfast,Yes,88,5
25,91,Tues,Lunch,No,388,8
703,164,Wed,Dinner,No,411,6
160,61,Thur,Lunch,No,299,7
327,56,Wed,Dinner,No,594,9
514,52,Fri,Dinner,No,593,7
765,402,Thur,Lunch,No,367,5
747,309,Tues,Lunch,No,467,5
69,465,Thur,Lunch,Yes,90,2
317,134,Tues,Lunch,No,368,6
121,258,Wed,Dinner,No,782,7
583,169,Fri,Breakfast,No,467,9
835,133,Thur,Lunch,No,484,7
24,511,Wed,Lunch,No,338,4
572,61,Mon,Lunch,No,361,6
641,175,Fri,Dinner,Yes,106,6
505,452,Mon,Lunch,No,277,3
742,84,Fri,Lunch,No,276,5
523,97,Thur,Breakfast,No,356,6
229,470,Mon,Lunch,No,550,6
233,245,Mon,Dinner,Yes,168,4
169,134,Wed,Dinner,No,829,7
799,528,Wed,Lunch,Yes,166,6
329,131,Tues,Dinner,No,410,6
231,128,Mon,Breakfast,Yes,104,8
578,161,Mon,Dinner,No,678,8
757,493,Mon,Breakfast,No,439,7
138,487,Mon,Dinner,No,618,7
159,102,Wed,Dinner,No,491,7
131,149,Wed,Dinner,No,650,9
161,233,Tues,Dinner,No,416,4
542,503,Fri,Dinner,No,697,6
511,185,Mon,Dinner,No,469,6
860,345,Mon,Dinner,Yes,100,3
634,149,Thur,Breakfast,No,417,6
810,127,Thur,Lunch,No,317,7
505,300,Mon,Lunch,Yes,149,5
552,198,Mon,Lunch,No,416,4
723,155,Thur,Lunch,No,293,7
154,65,Wed,Dinner,No,608,5
715,156,Thur,Dinner,No,741,7
599,190,Thur,Lunch,No,444,7
626,548,Thur,Breakfast,No,299,6
576,143,Tues,Breakfast,Yes,109,5
285,215,Thur,Lunch,No,536,7
274,135,Fri,Dinner,No,383,5
32,61,Tues,Dinner,No,581,8
574,137,Thur,Dinner,No,684,8
544,440,Thur,Lunch,No,394,3
34,139,Wed,Lunch,No,562,5
759,179,Tues,Lunch,No,368,8
201,312,Mon,Breakfast,No,461,7
117,104,Wed,Breakfast,No,323,6
220,129,Wed,Breakfast,No,479,7
784,173,Thur,Lunch,No,307,5
804,208,Fri,Lunch,No,487,7
875,93,Mon,Dinner,No,627,7
739,178,Mon,Dinner,No,476,6
347,158,Thur,Lunch,No,332,7
539,202,Thur,Lunch,No,269,6
235,412,Wed,Dinner,No,427,6
708,47,Fri,Lunch,No,359,5
358,225,Fri,Lunch,No,429,5
303,257,Fri,Lunch,No,302,4
243,131,Tues,Dinner,No,453,6
377,176,Tues,Dinner,Yes,193,5
863,111,Tues,Lunch,No,266,6
363,380,Mon,Lunch,No,563,5
644,175,Fri,Lunch,No,420,6
738,60,Wed,Dinner,No,325,6
24,280,Thur,Dinner,No,586,7
863,558,Thur,Dinner,No,553,6
849,252,Mon,Lunch,No,372,4
883,330,Wed,Lunch,No,504,6
428,213,Thur,Dinner,No,480,4
767,343,Wed,Dinner,No,305,6
766,97,Wed,Dinner,No,670,9
258,184,Tues,Dinner,Yes,122,5
251,245,Tues,Dinner,No,672,5
451,70,Mon,Lunch,No,265,8
463,143,Tues,Lunch,No,470,8
196,42,Thur,Lunch,No,546,9
70,384,Tues,Breakfast,No,264,4
603,82,Tues,Dinner,No,463,8
469,347,Mon,Dinner,No,784,4
181,313,Tues,Lunch,No,550,4
609,363,Thur,Breakfast,No,459,5
818,31,Thur,Lunch,No,355,5
78,454,Tues,Dinner,No,334,6
211,30,Wed,Lunch,No,572,6
527,139,Wed,Lunch,No,436,8
359,120,Tues,Dinner,No,482,6
848,97,Wed,Lunch,No,324,5
656,299,Thur,Lunch,No,366,4
750,128,Wed,Dinner,No,809,8
748,398,Wed,Lunch,No,243,6
825,96,Mon,Lunch,No,255,5
538,187,Wed,Lunch,No,355,8
477,438,Tues,Breakfast,Yes,105,7
115,42,Wed,Lunch,No,352,7
761,141,Tues,Lunch,No,545,6
387,115,Wed,Dinner,No,796,9
181,266,Wed,Lunch,No,596,8
279,339,Wed,Dinner,No,781,4
529,91,Mon,Lunch,No,436,6
90,207,Tues,Lunch,No,562,8
599,31,Tues,Dinner,No,618,6
493,75,Fri,Dinner,No,447,8
651,89,Fri,Breakfast,No,215,5
136,162,Tues,Lunch,No,229,4
851,48,Fri,Breakfast,No,444,9
41,104,Tues,Dinner,No,460,5
845,61,Tues,Lunch,Yes,109,7
215,65,Fri,Dinner,No,497,8
390,118,Mon,Lunch,No,482,5
220,148,Tues,Lunch,Yes,109,7
532,539,Wed,Dinner,No,362,6
366,297,Tues,Dinner,No,638,5
839,87,Mon,Lunch,No,312,7
540,64,Fri,Lunch,No,359,6
125,72,Fri,Dinner,No,345,5
28,100,Thur,Dinner,No,476,6
70,145,Fri,Dinner,No,434,7
593,151,Tues,Dinner,No,358,7
468,137,Mon,Dinner,No,332,7
726,61,Tues,Dinner,Yes,133,6
324,256,Fri,Lunch,No,494,6
62,127,Tues,Lunch,No,316,8
574,256,Thur,Dinner,No,720,6
801,156,Mon,Dinner,No,360,5
350,173,Wed,Dinner,No,690,7
610,197,Thur,Lunch,No,290,7
483,336,Thur,Dinner,No,789,5
242,356,Fri,Lunch,No,586,5
567,146,Wed,Breakfast,Yes,151,8
128,537,Wed,Breakfast,No,350,5
105,231,Fri,Lunch,Yes,113,7
737,126,Fri,Lunch,No,536,7
832,446,Fri,Dinner,Yes,143,4
247,142,Tues,Lunch,No,476,6
263,229,Thur,Dinner,No,425,7
632,171,Wed,Lunch,No,319,5
538,165,Tues,Lunch,No,290,6
111,139,Wed,Breakfast,No,394,7
193,145,Thur,Breakfast,No,500,6
566,174,Fri,Lunch,No,404,6
399,32,Fri,Lunch,No,443,8
440,117,Wed,Dinner,No,357,6
713,255,Mon,Breakfast,No,459,7
436,173,Mon,Dinner,No,348,7
505,85,Thur,Lunch,No,263,8
733,275,Wed,Breakfast,No,191,8
224,516,Mon,Lunch,No,248,2
93,80,Tues,Lunch,No,535,7
275,33,Fri,Dinner,Yes,187,5
107,107,Fri,Dinner,No,424,5
85,466,Wed,Dinner,Yes,135,5
534,114,Wed,Lunch,No,411,8
414,82,Thur,Dinner,No,433,8
701,84,Tues,Lunch,Yes,167,6
344,169,Fri,Lunch,No,222,8
193,333,Mon,Lunch,No,323,4
741,285,Wed,Lunch,No,373,4
182,566,Fri,Dinner,No,806,4
561,142,Thur,Breakfast,No,315,7
378,34,Thur,Lunch,No,325,8
627,112,Mon,Lunch,No,578,8
719,127,Fri,Dinner,No,642,7
227,411,Fri,Lunch,No,355,5
615,357,Mon,Dinner,No,363,5
607,140,Mon,Dinner,No,777,7
717,367,Tues,Lunch,No,356,6
205,54,Thur,Dinner,No,787,8
246,116,Mon,Dinner,No,743,7
701,103,Mon,Lunch,Yes,112,6
67,146,Mon,Lunch,No,495,7
267,112,Tues,Dinner,No,453,5
601,366,Fri,Dinner,No,673,7
90,348,Thur,Dinner,No,802,5
34,140,Mon,Dinner,No,548,5
539,165,Fri,Dinner,No,753,9
248,172,Wed,Breakfast,No,492,7
464,149,Tues,Lunch,No,365,5
679,341,Wed,Dinner,No,518,6
474,77,Tues,Dinner,No,821,10
532,59,Wed,Dinner,Yes,135,6
399,141,Mon,Breakfast,No,236,6
16,117,Thur,Dinner,Yes,148,4
310,283,Tues,Lunch,No,220,6
29,374,Wed,Dinner,No,328,5
805,121,Wed,Lunch,No,453,7
160,540,Tues,Dinner,No,612,5
808,136,Wed,Dinner,No,717,7
657,316,Wed,Lunch,No,506,7
51,346,Fri,Dinner,No,596,7
425,541,Thur,Lunch,No,233,2
494,73,Tues,Dinner,No,710,7
199,126,Tues,Lunch,No,381,5
188,147,Tues,Dinner,No,576,8
303,69,Mon,Lunch,No,466,8
81,145,Mon,Lunch,No,221,5
831,128,Mon,Dinner,No,558,8
479,149,Wed,Dinner,No,420,5
222,54,Tues,Lunch,No,334,7
576,118,Wed,Lunch,No,321,5
399,59,Mon,Lunch,No,454,7
196,156,Wed,Dinner,No,819,6
128,498,Thur,Lunch,No,588,5
92,232,Fri,Lunch,No,425,4
58,152,Fri,Lunch,No,324,6
677,178,Tues,Lunch,No,321,8
75,153,Tues,Lunch,No,222,8
572,150,Thur,Lunch,No,520,5
12,470,Tues,Lunch,No,516,5
788,473,Tues,Breakfast,No,290,4
740,573,Mon,Lunch,No,313,3
358,499,Mon,Dinner,No,352,2
207,331,Mon,Lunch,Yes,132,5
404,43,Mon,Dinner,No,363,8
596,147,Mon,Dinner,No,366,5
415,481,Fri,Lunch,No,536,7
140,337,Fri,Lunch,Yes,144,5
627,223,Mon,Dinner,No,792,9
55,53,Tues,Dinner,No,704,6
545,149,Thur,Breakfast,Yes,109,6
297,62,Mon,Lunch,No,368,5
540,432,Wed,Dinner,No,317,6
49,104,Thur,Lunch,No,297,7
866,96,Mon,Lunch,No,508,9
42,87,Mon,Breakfast,No,240,7
529,179,Tues,Dinner,No,698,6
216,146,Mon,Lunch,No,229,7
513,101,Thur,Lunch,Yes,146,5
217,90,Tues,Dinner,No,424,6
760,324,Fri,Lunch,Yes,187,4
260,313,Mon,Lunch,No,521,7
145,136,Mon,Lunch,No,234,5
741,167,Thur,Lunch,No,488,6
295,102,Fri,Lunch,No,279,5
354,87,Fri,Dinner,Yes,128,7
257,178,Fri,Lunch,Yes,173,6
739,156,Wed,Dinner,No,667,5
433,164,Tues,Lunch,Yes,105,4
463,263,Tues,Dinner,No,637,6
632,34,Thur,Lunch,Yes,156,4
860,516,Mon,Lunch,Yes,125,5
21,344,Wed,Breakfast,Yes,94,8
799,267,Tues,Lunch,No,560,5
411,32,Wed,Dinner,No,750,8
199,428,Mon,Dinner,No,408,4
473,283,Fri,Dinner,No,344,7
134,104,Tues,Dinner,No,647,8
586,414,Fri,Dinner,No,539,5
758,155,Thur,Lunch,No,561,8
670,135,Thur,Dinner,Yes,140,4
618,124,Tues,Lunch,No,531,9
847,371,Fri,Breakfast,No,438,7
776,187,Fri,Lunch,No,356,8
790,110,Fri,Dinner,No,414,5
809,107,Tues,Dinner,No,309,6
413,130,Wed,Lunch,No,590,6
126,486,Wed,Lunch,No,362,3
151,540,Tues,Lunch,No,301,3
